No,Style Category,Design_DNA,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Complexity,Signature_Elements,Composition_Rules
35,Financial Dashboard,fiscal precision,BI/Analytics,"Revenue metrics, profit/loss visualization, budget tracking, financial ratios, portfolio performance, cash flow, audit trail","Financial colors: profit (green #22C55E), loss (red #EF4444), neutral (grey), trust (dark blue #003366)","Revenue highlight (green), expenses (red), budget variance (orange/red), balance (grey), accuracy (blue)","Number animations (count-up), trend direction indicators, percentage change animations, profit/loss color transitions","Financial reporting, accounting dashboards, portfolio tracking, budget monitoring, banking analytics","Simple business dashboards, entertainment/social metrics, non-financial data",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✗ Low,Medium,Revenue metrics; profit/loss visualization; budget tracking; financial ratios; Number animations (count-up),Portfolio summary dominates top fold; account breakdown in tabular grid below; time-series chart spans full width; transaction list at bottom with infinite scroll; numbers right-aligned for scan
36,Sales Intelligence Dashboard,pipeline momentum,BI/Analytics,"Deal pipeline, sales metrics, territory performance, sales rep leaderboard, win-loss analysis, quota tracking, forecast accuracy","Sales colors: won (green), lost (red), in-progress (blue), blocked (orange), quota met (gold), quota missed (grey)","Pipeline stage colors, rep performance colors, quota achievement colors, forecast accuracy colors","Deal movement animations, metric updates, leaderboard ranking changes, gauge needle movements, status change highlights","CRM dashboards, sales management, opportunity tracking, performance management, quota planning","Marketing analytics, customer support metrics, HR dashboards",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,◐ Medium,Medium,Deal pipeline; sales metrics; territory performance; sales rep leaderboard; Deal movement animations,Pipeline funnel visualization anchors the page; KPI scorecards in horizontal strip below; activity feed in narrow sidebar; data tables sortable in place; filters in collapsible top bar
37,Neubrutalism,pop-art rebellion,General,"Bold borders, black outlines, primary colors, thick shadows, no gradients, flat colors, 45° shadows, playful, Gen Z","#FFEB3B (Yellow), #FF5252 (Red), #2196F3 (Blue), #000000 (Black borders)","Limited accent colors, high contrast combinations, no gradients allowed",Hard snap hover shifting shadow offset direction; press squashes shadow to zero creating physical stamp feel; no easing — instant binary state transitions; elements enter with abrupt pop-in; cursor transforms to custom pointer on interactive zones,"Gen Z brands, startups, creative agencies, Figma-style apps, Notion-style interfaces, tech blogs","Luxury brands, finance, healthcare, conservative industries (too playful)",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Thick black outlines on all interactive elements; hard-edge offset block shadows (no blur); raw unpolished surface feel; high-saturation primary color fills; deliberately misaligned or overlapping elements for tension,Asymmetric balance to create visual tension; Dynamic content blocks with varied sizes and color accents; Color transitions as spatial navigational cues
38,Y2K Aesthetic,chrome nostalgia,General,"Neon pink, chrome, metallic, bubblegum, iridescent, glossy, retro-futurism, 2000s, futuristic nostalgia","#FF69B4 (Hot Pink), #00FFFF (Cyan), #C0C0C0 (Silver), #9400D3 (Purple)","Metallic gradients, glossy overlays, iridescent effects, chrome textures","metallic chrome sheen, glossy buttons, 3D chrome effects, glow animations, bubble shapes","Fashion brands, music platforms, Gen Z brands, nostalgia marketing, entertainment, youth-focused","B2B enterprise, healthcare, finance, conservative industries, elderly users",✓ Full,◐ Partial,⚠ Good,⚠ Check contrast,✓ Good,Medium,Glossy chrome-finish surfaces reflecting surrounding UI elements; star-burst and butterfly decorative motifs scattered as ambient elements; bubblegum pink and electric blue gradient fills on pill-shaped containers; metallic text with bevel and emboss catching a virtual light source,Nostalgic visual patterns evoking a specific era; Futuristic visual layers with glow and depth effects
39,Cyberpunk UI,neon dystopia,General,"Neon, dark mode, terminal, HUD, sci-fi, glitch, dystopian, futuristic, matrix, tech noir","#00FF00 (Matrix Green), #FF00FF (Magenta), #00FFFF (Cyan), #0D0D0D (Dark)","Neon gradients, scanline overlays, glitch colors, terminal green accents","Neon glow (text-shadow), glitch animations (skew/offset), scanlines (::before overlay), terminal fonts","Gaming platforms, tech products, crypto apps, sci-fi applications, developer tools, entertainment","Corporate enterprise, healthcare, family apps, conservative brands, elderly users",✗ No,✓ Only,⚠ Moderate,⚠ Limited (dark+neon),◐ Medium,Medium,Neon cyan and magenta line-art UI borders glowing against deep void background; chamfered corner cuts on cards evoking armored-panel aesthetic; scan-line texture overlay creating CRT monitor atmosphere; data streams visualized as scrolling matrix-green monospace columns,Dark surface hierarchy with light text for depth; Futuristic visual layers with glow and depth effects
40,Organic Biophilic,living breathing space,General,"Nature, organic shapes, green, sustainable, rounded, flowing, wellness, earthy, natural textures","#228B22 (Forest Green), #8B4513 (Earth Brown), #87CEEB (Sky Blue), #F5F5DC (Beige)","Natural gradients, earth tones, sky blues, organic textures, wood/stone colors","Rounded corners (16-24px), organic curves (border-radius variations), natural shadows, flowing SVG shapes","Wellness apps, sustainability brands, eco products, health apps, meditation, organic food brands","Tech-focused products, gaming, industrial, urban brands",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,"Leaf-vein patterns and cellular structures as subtle background textures; asymmetric blob-shaped containers replacing rectangular cards; earth-tone palette (moss green, terracotta, warm sand) across all surfaces; organic border-radius variations creating hand-sculpted feel",Organic shapes softening rigid rectangular containers
41,AI-Native UI,ambient intelligence,General,"Chatbot, conversational, voice, assistant, agentic, ambient, minimal chrome, streaming text, AI interactions","Neutral + single accent, #6366F1 (AI Purple), #10B981 (Success), #F5F5F5 (Background)","Status indicators, streaming highlights, context card colors, subtle accent variations",AI orb slow color-flow breathing with scale pulse on thinking state; streaming text character-by-character reveal; typing indicator three-dot wave pulse; card press elastic scale-down; waveform bars react to audio amplitude; spring easing 200-350ms; context card slide-in from edge,"AI products, chatbots, voice assistants, copilots, AI-powered tools, conversational interfaces","Traditional forms, data-heavy dashboards, print-first content",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,Self-luminous gradient orb or particle field as AI presence indicator; ultra-low-opacity diffuse card shadows for floating panels; neutral-white studio ambient light; clean separation between AI-generated and user-authored content zones,Generous negative space between content blocks
42,Memphis Design,postmodern playfulness,General,"80s, geometric, playful, postmodern, shapes, patterns, squiggles, triangles, neon, abstract, bold","#FF71CE (Hot Pink), #FFCE5C (Yellow), #86CCCA (Teal), #6A7BB4 (Blue Purple)","Complementary geometric colors, pattern fills, contrasting accent shapes","transform: rotate(), clip-path: polygon(), mix-blend-mode, repeating patterns, bold shapes","Creative agencies, music sites, youth brands, event promotion, artistic portfolios, entertainment","Corporate finance, healthcare, legal, elderly users, conservative brands",✓ Full,✓ Full,⚡ Excellent,⚠ Check contrast,✓ Good,Medium,"Scattered geometric confetti (triangles, zigzags, dots) as decorative background layer; thick black outlines around all interactive elements; clashing primary-color fills on asymmetrically placed shape containers; playful grid-breaking layout with intentionally misaligned elements",Grid-driven layout with consistent column rhythm; Asymmetric balance to create visual tension; Dynamic content blocks with varied sizes and color accents
43,Vaporwave,digital dreamscape,General,"Synthwave, retro-futuristic, 80s-90s, neon, glitch, nostalgic, sunset gradient, dreamy, aesthetic","#FF71CE (Pink), #01CDFE (Cyan), #05FFA1 (Mint), #B967FF (Purple)","Sunset gradients, glitch overlays, VHS effects, neon accents, pastel variations","text-shadow glow, linear-gradient, filter: hue-rotate(), glitch animations, retro scan lines","Music platforms, gaming, creative portfolios, tech startups, entertainment, artistic projects","Business apps, e-commerce, education, healthcare, enterprise software",✓ Full,✓ Dark focused,⚠ Moderate,⚠ Poor (motion),◐ Medium,Medium,Gradient-washed sky backdrops fading from pink sunset to teal horizon; marble-column and Greek-statue imagery as decorative motifs; retro pixel grid overlays adding digital-analog texture tension; soft neon glow halos around key interactive elements,Nostalgic visual patterns evoking a specific era; Futuristic visual layers with glow and depth effects; Color transitions as spatial navigational cues
44,Dimensional Layering,spatial depth stacking,General,"Depth, overlapping, z-index, layers, 3D, shadows, elevation, floating, cards, spatial hierarchy","Neutral base (#FFFFFF, #F5F5F5, #E0E0E0) + brand accent for elevated elements","Shadow variations (sm/md/lg/xl), elevation colors, highlight colors for top layers","z-index stacking, box-shadow elevation (4 levels), transform: translateZ(), backdrop-filter, parallax","Dashboards, card layouts, modals, navigation, product showcases, SaaS interfaces","Print-style layouts, simple blogs, low-end devices, flat design requirements",✓ Full,✓ Full,⚠ Good,⚠ Moderate (SR issues),✓ Good,Medium,Multiple translucent surface planes stacked at varying z-depths with parallax response; content cards floating at different elevations with corresponding shadow intensities; peek-through cutouts in foreground layers revealing background content; scroll-driven depth shifts creating spatial navigation through information layers,Layered depth through overlapping translucent surfaces; Spatial depth through perspective and layering
45,Exaggerated Minimalism,typographic dominance,General,"Bold minimalism, oversized typography, high contrast, negative space, loud minimal, statement design","#000000 (Black), #FFFFFF (White), single vibrant accent only","Minimal - single accent color, no secondary colors, extreme restraint","font-size: clamp(3rem 10vw 12rem), font-weight: 900, letter-spacing: -0.05em, massive whitespace","Fashion, architecture, portfolios, agency landing pages, luxury brands, editorial","E-commerce catalogs, dashboards, forms, data-heavy, elderly users, complex apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,Bold minimalism; oversized typography; high contrast; negative space; font-size: clamp(3rem 10vw 12rem),Generous negative space between content blocks; Asymmetric balance to create visual tension
46,Kinetic Typography,words in motion,General,"Motion text, animated type, moving letters, dynamic, typing effect, morphing, scroll-triggered text","Flexible - high contrast recommended, bold colors for emphasis, animation-friendly palette","Accent colors for emphasis, transition colors, gradient text fills","@keyframes text animation, typing effect, background-clip: text, GSAP ScrollTrigger, split text","Hero sections, marketing sites, video platforms, storytelling, creative portfolios, landing pages","Long-form content, accessibility-critical, data interfaces, forms, elderly users",✓ Full,✓ Full,⚠ Moderate,❌ Poor (motion),✓ Good,High,"Display-scale letterforms animated as primary visual content; individual characters splitting, morphing, and reforming on scroll trigger; type serving simultaneously as navigation, illustration, and information; negative space between oversized letters creating implicit imagery",Asymmetric balance to create visual tension
47,Parallax Storytelling,scroll-driven cinema,General,"Scroll-driven, narrative, layered scrolling, immersive, progressive disclosure, cinematic, scroll-triggered","Story-dependent, often gradients and natural colors, section-specific palettes","Section transition colors, depth layer colors, narrative mood colors","transform: translateY(scroll), position: fixed/sticky, perspective: 1px, scroll-triggered animations","Brand storytelling, product launches, case studies, portfolios, annual reports, marketing campaigns","E-commerce, dashboards, mobile-first, SEO-critical, accessibility-required",✓ Full,✓ Full,❌ Poor,❌ Poor (motion),✗ Low,High,Scroll-driven; narrative; layered scrolling; immersive; transform: translateY(scroll),Dark surface hierarchy with light text for depth; Layered depth through overlapping translucent surfaces
48,Swiss Modernism 2.0,typographic authority,General,"Grid system, Helvetica, modular, asymmetric, international style, rational, clean, mathematical spacing","#000000, #FFFFFF, #F5F5F5, single vibrant accent only","Minimal secondary, accent for emphasis only, no gradients",Content blocks slide into grid positions on scroll; typography scale-snaps at breakpoints; section numbers count up on scroll-into-view; image crops reveal with directional wipe; minimal transitions 150-250ms linear — no bounce or spring,"Corporate sites, architecture, editorial, SaaS, museums, professional services, documentation","Playful brands, children's sites, entertainment, gaming, emotional storytelling",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Strict mathematical grid with 12-column modularity; Helvetica or grotesk type at systematic scale; asymmetric balance within grid constraints; monochrome palette with single accent rule; horizontal rules and numbered sections as navigation anchors,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks; Asymmetric balance to create visual tension
49,HUD / Sci-Fi FUI,cockpit interface,General,"Futuristic, technical, wireframe, neon, data, transparency, iron man, sci-fi, interface","Neon Cyan #00FFFF, Holographic Blue #0080FF, Alert Red #FF0000","Transparent Black, Grid Lines #333333","Glow effects, scanning animations, ticker text, blinking markers, fine line drawing","Sci-fi games, space tech, cybersecurity, movie props, immersive dashboards","Standard corporate, reading heavy content, accessible public services",✓ Low,✓ Full,⚠ Moderate (renders),⚠ Poor (thin lines),◐ Medium,High,Thin-stroke wireframe panels with corner bracket decorations on dark void; monospace type in all-caps with wide letter-spacing for readouts; circular gauge clusters and radar-sweep animations as data visualization; translucent overlay panels with subtle scan-line animation,Information-dense layout with clear visual hierarchy; Futuristic visual layers with glow and depth effects
50,Pixel Art,retro 8-bit charm,General,"Retro, 8-bit, 16-bit, gaming, blocky, nostalgic, pixelated, arcade","Primary colors (NES Palette), brights, limited palette","Black outlines, shading via dithering or block colors","Frame-by-frame sprite animation, blinking cursor, instant transitions, marquee text","Indie games, retro tools, creative portfolios, nostalgia marketing, Web3/NFT","Professional corporate, modern SaaS, high-res photography sites",✓ Full,✓ Full,⚡ Excellent,✓ Good (if contrast ok),✓ High,Medium,8-bit sprite-style icons and illustrations as primary visual language; stepped aliased edges on all UI elements preserving pixel-grid integrity; limited 16-color palette enforcing retro console constraints; character-based loading animations with frame-by-frame sprite sequences,Nostalgic visual patterns evoking a specific era
51,Bento Grids,approachable sophistication,General,"Apple-style, modular, cards, organized, clean, hierarchy, grid, rounded, soft","Off-white #F5F5F7, Clean White #FFFFFF, Text #1D1D1F","Subtle accents, soft shadows, blurred backdrops",Tile hover gentle scale-up with soft shadow expansion; parallax speed differential between tiles on scroll; staggered tile entrance fade-up 250-400ms ease-out; capsule button arrow shifts on hover; elastic edge snap on horizontal swipe,"Product features, dashboards, personal sites, marketing summaries, galleries","Long-form reading, data tables, complex forms",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,Apple-style modular tile mosaic with varied cell proportions; each tile a self-contained micro-narrative; uniform gap rhythm between cells; flat UI layer with studio-lit product photography inside tiles; subtle depth only through content contrast not shadows,Grid-driven layout with consistent column rhythm; Generous negative space between content blocks
52,Spatial UI (VisionOS),immersive glass depth,General,"Glass, depth, immersion, spatial, translucent, gaze, gesture, apple, vision-pro","Frosted Glass #FFFFFF (15-30% opacity), System White","Vibrant system colors for active states, deep shadows for depth","Parallax depth, dynamic lighting response, gaze-hover effects, smooth scale on focus","Spatial computing apps, VR/AR interfaces, immersive media, futuristic dashboards","Text-heavy documents, high-contrast requirements, non-3D capable devices",✓ Full,✓ Full,⚠ Moderate (blur cost),⚠ Contrast risks,✓ High (if adapted),High,Frosted-glass panels floating in spatial depth with environment-mapped reflections; specular highlight edges responding to virtual ambient light direction; layered translucent surfaces with dynamic blur intensity based on depth; subtle parallax shift on panels as user gaze or cursor moves,Layered depth through overlapping translucent surfaces
53,E-Ink / Paper,calm paper reading,General,"Paper-like, matte, high contrast, texture, reading, calm, slow tech, monochrome","Off-White #FDFBF7, Paper White #F5F5F5, Ink Black #1A1A1A","Pencil Grey #4A4A4A, Highlighter Yellow #FFFF00 (accent)","No motion blur, distinct page turns, grain/noise texture, sharp transitions (no fade)","Reading apps, digital newspapers, minimal journals, distraction-free writing, slow-living brands","Gaming, video platforms, high-energy marketing, dark mode dependent apps",✓ Full,✗ Low (inverted only),⚡ Excellent,✓ WCAG AAA,✓ High,Low,Warm off-white paper texture base with deep ink-charcoal text; serif typography evoking print quality; subtle horizontal rules separating reading blocks; monochrome hierarchy through type weight and size alone; tactile paper grain at very low opacity,Single-column reading flow with generous margins and clear paragraph breaks; no layering or depth effects; content blocks separated by subtle horizontal rules or whitespace; monochrome hierarchy through weight and size only
54,Gen Z Chaos / Maximalism,curated visual chaos,General,"Chaos, clutter, stickers, raw, collage, mixed media, loud, internet culture, ironic","Clashing Brights: #FF00FF, #00FF00, #FFFF00, #0000FF","Gradients, rainbow, glitch, noise, heavily saturated mix","Marquee scrolls, jitter, sticker layering, GIF overload, random placement, drag-and-drop","Gen Z lifestyle brands, music artists, creative portfolios, viral marketing, fashion","Corporate, government, healthcare, banking, serious tools",✓ Full,✓ Full,⚠ Poor (heavy assets),❌ Poor,◐ Medium,High,"Sticker-collage layering with hand-drawn doodles overlapping structured content; mismatched type stacks combining serif, sans, mono, and handwriting in one headline; infinite-scroll marquee tickers running as ambient background elements; intentional visual overflow and cropped elements breaking container boundaries","Deliberately broken grid with overlapping layers, rotated blocks, and mixed-scale typography fighting for attention; sticker-collage density with no breathing room; reading path is intentionally nonlinear"
55,Biomimetic / Organic 2.0,algorithmic nature,General,"Nature-inspired, cellular, fluid, breathing, generative, algorithms, life-like","Cellular Pink #FF9999, Chlorophyll Green #00FF41, Bioluminescent Blue","Deep Ocean #001E3C, Coral #FF7F50, Organic gradients","Breathing animations, fluid morphing, generative growth, physics-based movement","Sustainability tech, biotech, advanced health, meditation, generative art platforms","Standard SaaS, data grids, strict corporate, accounting",✓ Full,✓ Full,⚠ Moderate,✓ Good,✓ Good,High,Cell-membrane dividers with phospholipid-bilayer visual texture; breathing-rhythm opacity pulses on ambient background elements (period ≥ 4s); neural-network node-graph patterns as decorative data visualization; fluid blob containers with SVG filter turbulence creating living-surface feel,Organic shapes softening rigid rectangular containers
56,Anti-Polish / Raw Aesthetic,handmade imperfection,General,"Hand-drawn, collage, scanned textures, unfinished, imperfect, authentic, human, sketch, raw marks, creative process","Paper White #FAFAF8, Pencil Grey #4A4A4A, Marker Black #1A1A1A, Kraft Brown #C4A77D","Watercolor washes, pencil shading, ink splatters, tape textures, aged paper tones","No smooth transitions, hand-drawn animations, paper texture overlays, jitter effects, sketch reveal","Creative portfolios, artist sites, indie brands, handmade products, authentic storytelling, editorial","Corporate enterprise, fintech, healthcare, government, polished SaaS",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,Low,Scanned paper textures and torn-edge masks on content containers; hand-drawn wobbly lines replacing geometric borders and dividers; rubber-stamp and typewriter-key typography for headings; deliberately misregistered color layers creating lo-fi print feel,Collage-style free placement with hand-positioned elements that ignore grid alignment; raw edges and visible construction marks; text wraps irregularly around images; margins vary intentionally per section
57,Tactile Digital / Deformable UI,squishy responsive surface,General,"Jelly buttons, chrome, clay, squishy, deformable, bouncy, physical, tactile feedback, press response","Gradient metallics, Chrome Silver #C0C0C0, Jelly Pink #FF9ECD, Soft Blue #87CEEB","Glossy highlights, shadow depth, reflection effects, material-specific colors","Press deformation (scale + squish), bounce-back (cubic-bezier), material response, haptic-like feedback, spring physics","Modern mobile apps, playful brands, entertainment, gaming UI, consumer products, interactive demos","Enterprise software, data dashboards, accessibility-critical, professional tools",✓ Full,✓ Full,⚠ Good,⚠ Motion sensitive,✓ High,Medium,Buttons that visibly squish and deform on press with rubber physics; chrome-sheen surface reflections shifting with cursor/tilt movement; clay-like rounded forms with soft multi-layer shadow stacks; elastic snap-back animations on drag-release interactions,Loose organic grid where elements have physical weight and settle into position; overlapping bubbly shapes create playful depth; interactive zones are large and finger-friendly with squishy hit areas
58,Nature Distilled,earthy warmth essence,General,"Muted earthy, skin tones, wood, soil, sand, terracotta, warmth, organic materials, handmade warmth","Terracotta #C67B5C, Sand Beige #D4C4A8, Warm Clay #B5651D, Soft Cream #F5F0E1","Earth Brown #8B4513, Olive Green #6B7B3C, Warm Stone #9C8B7A, muted gradients","Subtle parallax, natural easing (ease-out), texture overlays, grain effects, soft shadows","Wellness brands, sustainable products, artisan goods, organic food, spa/beauty, home decor","Tech startups, gaming, nightlife, corporate finance, high-energy brands",✓ Full,◐ Partial,⚡ Excellent,✓ WCAG AA,✓ High,Low,"Muted earth-tone palette (dried clay, sage, warm sand, bark brown) across all surfaces; fine-grain wood or woven-linen texture as subtle card backgrounds; hand-drawn botanical line illustrations as section dividers; warm ambient light simulation with soft top-down shadow direction",Organic shapes softening rigid rectangular containers
59,Interactive Cursor Design,cursor as character,General,"Custom cursor, cursor as tool, hover effects, cursor feedback, pointer transformation, cursor trail, magnetic cursor","Brand-dependent, cursor accent color, high contrast for visibility","Trail colors, hover state colors, magnetic zone indicators, feedback colors","Cursor scale on hover, magnetic pull to elements, cursor morphing, trail effects, blend mode cursors, click feedback","Creative portfolios, interactive experiences, agency sites, product showcases, gaming, entertainment","Mobile-first (no cursor), accessibility-critical, data-heavy dashboards, forms",✓ Full,✓ Full,⚡ Good,⚠ Not for touch/SR,✗ No cursor,Medium,Custom cursor; cursor as tool; hover effects; cursor feedback; Cursor scale on hover,Spacious single-column with generous hover zones between elements; content blocks spaced to give cursor effects room to perform; minimal text density so cursor transformations remain visible against the layout
60,Voice-First Multimodal,voice-visual fusion,General,"Voice UI, multimodal, audio feedback, conversational, hands-free, ambient, contextual, speech recognition","Calm neutrals: Soft White #FAFAFA, Muted Blue #6B8FAF, Gentle Purple #9B8FBB","Audio waveform colors, status indicators (listening/processing/speaking), success/error tones","Voice waveform visualization, listening pulse, processing spinner, speak animation, smooth transitions","Voice assistants, accessibility apps, hands-free tools, smart home, automotive UI, cooking apps","Visual-heavy content, data entry, complex forms, noisy environments",✓ Full,✓ Full,⚡ Excellent,✓ Excellent,✓ High,Medium,Voice UI; multimodal; audio feedback; conversational; Voice waveform visualization,Centered conversational column with large central display zone for visual responses; minimal peripheral UI; input area anchored at bottom with voice waveform indicator; transcript scrolls above in chat-bubble rhythm
61,3D Product Preview,touchable product,General,"360 product view, rotatable, zoomable, touch-to-spin, AR preview, product configurator, interactive 3D model","Product-dependent, neutral backgrounds: Soft Grey #E8E8E8, Pure White #FFFFFF","Shadow gradients, reflection planes, environment lighting colors, accent highlights","Drag-to-rotate, pinch-to-zoom, spin animation, AR placement, material switching, smooth orbit controls","E-commerce, furniture, fashion, automotive, electronics, jewelry, product configurators","Content-heavy sites, blogs, dashboards, low-bandwidth, accessibility-critical",◐ Partial,◐ Partial,❌ Poor (3D rendering),⚠ Alt content needed,◐ Medium,High,Product hero as interactive 3D model with drag-to-rotate and pinch-to-zoom; environment-mapped reflections on product surface updating in real-time; hotspot markers on 3D model revealing feature callouts on hover; seamless transition between 3D view and flat product-spec layout,Spatial depth through perspective and layering
62,Gradient Mesh / Aurora Evolved,luminous color field,General,"Complex gradients, mesh gradients, multi-color blend, aurora effect, flowing colors, iridescent, holographic, prismatic","Multi-stop gradients: Cyan #00FFFF, Magenta #FF00FF, Yellow #FFFF00, Blue #0066FF, Green #00FF66","Complementary mesh points, smooth color transitions, iridescent overlays, chromatic shifts","CSS mesh-gradient (experimental), SVG gradients, canvas gradients, smooth color morphing, flowing animation","Hero sections, backgrounds, creative brands, music platforms, fashion, lifestyle, premium products","Data interfaces, text-heavy content, accessibility-critical, conservative brands",✓ Full,✓ Full,⚠ Good,⚠ Text contrast,✓ Good,Medium,Flowing multi-color mesh gradients as ambient surface treatment; aurora-like color shifts across hero sections; primary CTA emerges from gradient as solid color anchor; gradient direction varies per section for spatial navigation; soft blur transitions between color zones,Information-dense layout with clear visual hierarchy; Organic shapes softening rigid rectangular containers; Color transitions as spatial navigational cues
63,Editorial Grid / Magazine,editorial authority,General,"Magazine layout, asymmetric grid, editorial typography, pull quotes, drop caps, column layout, print-inspired","High contrast: Black #000000, White #FFFFFF, accent brand color","Muted supporting, pull quote highlights, byline colors, section dividers","Smooth scroll, reveal on scroll, parallax images, text animations, page-flip transitions","News sites, blogs, magazines, editorial content, long-form articles, journalism, publishing","Dashboards, apps, e-commerce catalogs, real-time data, short-form content",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,Low,Refined serif typography pairing with structured multi-column grid; oversized pull quotes break body text rhythm; ample marginalia space for annotations and metadata; restrained color palette letting typography dominate; asymmetric image-text interleave at section breaks,Grid-driven layout with consistent column rhythm; Asymmetric balance to create visual tension; Typography-led sections with dramatic scale contrast
64,Chromatic Aberration / RGB Split,glitch signal,General,"RGB split, color fringing, glitch, retro tech, VHS, analog error, distortion, lens effect","Offset RGB: Red #FF0000, Green #00FF00, Blue #0000FF, Black #000000","Neon accents, scan lines, noise overlays, error colors","RGB offset animation, glitch timing, scan line movement, noise flicker, distortion on hover","Music platforms, gaming, tech brands, creative portfolios, nightlife, entertainment, video platforms","Corporate, healthcare, finance, accessibility-critical, elderly users",✓ Full,✓ Dark preferred,⚠ Good,⚠ Can cause strain,◐ Medium,Medium,RGB channel offset on text and edges creating prismatic color fringe; glitch-triggered channel separation on hover and scroll events; monochrome base with chromatic effect as sole color injection; VHS tracking-error distortion as ambient background texture,Nostalgic visual patterns evoking a specific era; Futuristic visual layers with glow and depth effects
65,Vintage Analog / Retro Film,analog warmth grain,General,"Film grain, VHS, cassette tape, polaroid, analog warmth, faded colors, light leaks, vintage photography","Faded Cream #F5E6C8, Warm Sepia #D4A574, Muted Teal #4A7B7C, Soft Pink #E8B4B8","Grain overlays, light leak oranges, shadow blues, vintage paper tones, desaturated accents","Film grain overlay, VHS tracking effect, polaroid shake, fade-in transitions, light leak animations","Photography portfolios, music/vinyl brands, vintage fashion, nostalgia marketing, film industry, cafes","Modern tech, SaaS, healthcare, children's apps, corporate enterprise",✓ Full,◐ Partial,⚡ Good,✓ WCAG AA,✓ High,Medium,Persistent film-grain noise overlay at low opacity across all surfaces; warm amber color grade shifting whites toward aged-photograph tone; rounded-corner Polaroid-frame containers for image content; halftone dot pattern applied to gradients evoking print-era reproduction,Nostalgic visual patterns evoking a specific era
66,Bauhaus (包豪斯),geometric primary force,Mobile,"bauhaus, geometric, constructivist, primary colors, hard shadow, bold, tactile, functional, poster, mechanical, architectural","Primary Red #D02020, Primary Blue #1040C0, Primary Yellow #F0C020","Background #F0F0F0 (Off-white), Foreground #121212 (Stark Black), Muted #E0E0E0","Hard offset shadows (4px 4px 0px black), mechanical press active:translate, no smooth hover — instant 0ms transitions, dot grid pattern on sections, slide-over transitions","Mobile-first apps needing high personality, onboarding flows, branding-forward product screens, artisan/design brands, editorial mobile experiences","Enterprise dashboards, accessibility-critical contexts (requires extra a11y work), data-heavy screens, conservative industries",✓ Full,◐ Partial (primary palette only),⚡ Excellent,⚠ WCAG AA (high contrast primaries; verify yellow text separately),✓ Mobile-First,Medium,"Primary-color (red, blue, yellow) geometric shape fills as structural blocks; thick black rule lines defining strict grid compartments; single geometric typeface used across all hierarchy via weight and scale only; asymmetric balance achieved through calculated shape-weight distribution",Grid-driven layout with consistent column rhythm; Asymmetric balance to create visual tension; Dynamic content blocks with varied sizes and color accents
67,Minimalist Monochrome,austere typographic drama,Mobile,"monochrome, black white, editorial, austere, typographic, sharp, zero radius, high contrast, brutalist, pocket editorial, serif, mechanical","Pure Black #000000, Pure White #FFFFFF","Muted #F5F5F5, Dark Gray #525252, Border Light #E5E5E5","Instant inversion active state (tap → bg-black text-white, zero transition-none), no shadows (strictly 2D), full-bleed horizontal rules (4px black section dividers), subtle paper noise texture (opacity: 0.03), slide-in page transitions with hard edge","Luxury fashion e-commerce mobile, editorial publications, high-end portfolio apps, experimental/avant-garde brands, digital exhibitions","Entertainment, colorful brands, friendly consumer apps, anything requiring visual warmth or gradient",✓ Full (Light Mode Enforced),◐ Dark by section only (inverted sections),⚡ Excellent,✓ WCAG AAA (pure black/white),✓ Mobile-First,Medium,monochrome; black white; editorial; austere; Instant inversion active state (tap → bg-black text-white,Generous negative space between content blocks; Asymmetric balance to create visual tension; Typography-led sections with dramatic scale contrast
