No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
87,Personal Finance Tracker,#1E40AF,#FFFFFF,#3B82F6,#FFFFFF,#D97706,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#21356B,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#1E40AF,bank banking financial fintech money,Professional blue + finance amber
88,Chat & Messaging App,#2563EB,#FFFFFF,#6164F1,#FFFFFF,#0D9488,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,chat messaging communication instant message conversation,Professional blue + social pink
89,Notes & Writing App,#78675A,#FFFFFF,#A8A29E,#FFFFFF,#D97706,#0F172A,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78675A,diary journal memo notebook writing,Warm ink + amber accent on cream [bg neutralized from #FFFBEB; cream moved to Card surface]
90,Habit Tracker,#B36204,#FFFFFF,#F59E0B,#0F172A,#6164F1,#FFFFFF,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706,daily discipline goal routine tracker,Amber + focus blue [bg neutralized from #FFFBEB; cream moved to Card surface]
91,Food Delivery / On-Demand,#C64A0A,#FFFFFF,#F97316,#FFFFFF,#2563EB,#FFFFFF,#FFF7ED,#0F172A,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C,cooking courier cuisine dining eat logistics meal recipe restaurant shipping transport,Appetizing orange + trust blue
92,Ride Hailing / Transportation,#2D3E59,#FFFFFF,#334155,#FFFFFF,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#243661,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#2D3E59,ride hailing taxi cab transportation sharing uber,Map dark + route blue
93,Recipe & Cooking App,#9A3412,#FFFFFF,#C2410C,#FFFFFF,#0891B2,#0F172A,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#F8F2F0,#64748B,#F2E6E2,#DC2626,#FFFFFF,#9A3412,chef cooking cuisine food kitchen meal recipe,Warm brown + fresh teal
94,Meditation & Mindfulness,#155E75,#FFFFFF,#0891B2,#0F172A,#D97706,#0F172A,#FFFFFF,#164E63,#FFFFFF,#164E63,#E7F0F4,#64748B,#A5F3FC,#DC2626,#FFFFFF,#155E75,calm mindfulness peaceful relax zen,Deep ocean + warm amber glow; bg neutralized
95,Weather App,#027CBA,#FFFFFF,#0EA5E9,#FFFFFF,#8655F6,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#027CBA,weather forecast climate temperature rain sun,Sky blue + sun amber; bg neutralized
96,Diary & Journal App,#92400E,#FFFFFF,#A16207,#FFFFFF,#027CBA,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#F8F3F0,#64748B,#F1E8E2,#DC2626,#FFFFFF,#92400E,daily diary journal notes personal writing,Warm journal brown + ink violet
97,CRM & Client Management,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#D97706,#0F172A,#FAFAF9,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#2563EB,client customer management relation sales,Professional blue + deal amber
98,Inventory & Stock Management,#334155,#FFFFFF,#475569,#FFFFFF,#2563EB,#FFFFFF,#F5F5F5,#0F172A,#FFFFFF,#0F172A,#EBEBEB,#64748B,#E0E0E0,#DC2626,#FFFFFF,#334155,management stock supply warehouse,Industrial slate + stock amber
99,Flashcard & Study Tool,#1E3A8A,#FFFFFF,#3B82F6,#FFFFFF,#0D9488,#0F172A,#FFFFFF,#1E40AF,#FFFFFF,#1E40AF,#E9EEF5,#64748B,#E5E5E5,#DC2626,#FFFFFF,#1E3A8A,academic education exam flashcard learning memory quiz school study,Academic navy + flashcard yellow; bg neutralized
100,Booking & Appointment App,#0369A1,#FFFFFF,#0EA5E9,#FFFFFF,#15803D,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#0369A1,appointment reservation schedule,Blue + green accent [Primary/Accent darkened for WCAG]; bg neutralized
101,Invoice & Billing Tool,#1E3A5F,#FFFFFF,#2563EB,#FFFFFF,#D97706,#0F172A,#FAFAF9,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#1E3A5F,billing charge payment receipt,Dark blue + invoice amber
102,Grocery & Shopping List,#04875F,#FFFFFF,#10B981,#FFFFFF,#1E40AF,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F8F6,#64748B,#E1F2ED,#DC2626,#FFFFFF,#059669,buy ecommerce food list mall market retail shop shopping store supermarket,Fresh green + food amber; bg neutralized
103,Timer & Pomodoro,#DC2626,#FFFFFF,#EF4444,#FFFFFF,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#403154,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#DC2626,clock countdown focus pomodoro productivity,Energy red + focus blue
104,Parenting & Baby Tracker,#D71676,#FFFFFF,#F472B6,#FFFFFF,#027CBA,#FFFFFF,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899,baby child family infant newborn parent parenting toddler,Soft pink + trust blue
105,Scanner & Document Manager,#2D3E59,#FFFFFF,#334155,#FFFFFF,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F2F3,#64748B,#E4E5E7,#DC2626,#FFFFFF,#2D3E59,document ocr paperless scan,Document grey + scan blue
106,Calendar & Scheduling App,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,agenda organizing planner schedule,Blue + urgency orange
107,Password Manager,#1E3A5F,#FFFFFF,#334155,#FFFFFF,#027CBA,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#223663,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#1E3A5F,access credential login safe security,Dark blue + security teal
108,Expense Splitter / Bill Split,#04845D,#FFFFFF,#10B981,#FFFFFF,#DC2626,#FFFFFF,#FAFAF9,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#059669,bill money payment share split splitter,Balance green + owe red
109,Voice Recorder & Memo,#DC2626,#FFFFFF,#EF4444,#FFFFFF,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626,audio recording sound speech,Recording red + waveform blue
110,Bookmark & Read-Later,#AF6004,#FFFFFF,#F59E0B,#0F172A,#2563EB,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706,article link read-later save,Warm amber + link blue
111,Translator App,#2563EB,#FFFFFF,#0891B2,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,interpret language multilingual translation,Global blue + teal + accent orange
112,Calculator & Unit Converter,#EA580C,#0F172A,#F97316,#FFFFFF,#0891B2,#0F172A,#1C1917,#FFFFFF,#262321,#FFFFFF,#4C3426,#94A3B8,#504B47,#DC2626,#FFFFFF,#EA580C,compute converter math,Operation orange on dark
113,Alarm & World Clock,#D97706,#0F172A,#F59E0B,#0F172A,#6164F1,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#383647,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#D97706,alert clock reminder time wake,Time amber + night indigo on dark
114,File Manager & Transfer,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#D97706,#0F172A,#F5F5F5,#0F172A,#FFFFFF,#0F172A,#EBEBEB,#64748B,#E0E0E0,#DC2626,#FFFFFF,#2563EB,document manager storage transfer,Folder blue + file amber
115,Email Client,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,communication inbox mail message,Inbox blue + priority red
116,Casual Puzzle Game,#D71676,#FFFFFF,#DC55F6,#0F172A,#F59E0B,#0F172A,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899,arcade brain challenge easy entertainment fun game gaming light play puzzle relaxed simple trivia,Cheerful pink + reward gold
117,Trivia & Quiz Game,#2563EB,#FFFFFF,#7C3AED,#FFFFFF,#16A34A,#0F172A,#EFF6FF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,answer arcade entertainment fun gaming knowledge play puzzle question quiz,Quiz blue + gold leaderboard
118,Card & Board Game,#15803D,#FFFFFF,#166534,#FFFFFF,#7C3AED,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#1C3A51,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#15803D,arcade board classic entertainment fun gaming play puzzle strategy table,Felt green + gold on dark
119,Idle & Clicker Game,#AF6004,#FFFFFF,#F59E0B,#0F172A,#7C3AED,#FFFFFF,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF6F0,#64748B,#FAEEE1,#DC2626,#FFFFFF,#D97706,arcade clicker entertainment fun gaming incremental play puzzle simple tap,Coin gold + prestige purple
120,Word & Crossword Game,#15803D,#FFFFFF,#059669,#FFFFFF,#D97706,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F7F3,#64748B,#E2EFE7,#DC2626,#FFFFFF,#15803D,arcade crossword entertainment fun gaming play puzzle spell text vocabulary,Word green + letter amber
121,Arcade & Retro Game,#DC2626,#FFFFFF,#F29C24,#0F172A,#BE123C,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#403154,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#DC2626,arcade classic entertainment fun gaming nostalgic pixel play puzzle retro,Arcade red + retro yellow
122,Photo Editor & Filters,#7C3AED,#FFFFFF,#6164F1,#FFFFFF,#16A34A,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#2D3170,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#7C3AED,camera capture image photography picture,Editor violet + filter cyan on dark
123,Short Video Editor,#EC4899,#0F172A,#DB2777,#FFFFFF,#2563EB,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#3C315E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#EC4899,clip film movie recording streaming,Video pink on dark + timeline blue
124,Drawing & Sketching Canvas,#7C3AED,#FFFFFF,#8655F6,#FFFFFF,#0891B2,#0F172A,#1C1917,#FFFFFF,#262321,#FFFFFF,#43344D,#94A3B8,#504B47,#DC2626,#FFFFFF,#7C3AED,art canvas doodle illustration sketching,Canvas purple + tool teal on dark
125,Music Creation & Beat Maker,#7C3AED,#FFFFFF,#6164F1,#FFFFFF,#EC4899,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#2D3170,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#7C3AED,audio instrument melody rhythm song sound,Creative purple + expression pink
126,Meme & Sticker Maker,#E2177C,#FFFFFF,#F5340B,#0F172A,#2563EB,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#FDF4F8,#64748B,#FCE9F2,#DC2626,#FFFFFF,#EC4899,comedy creative emoji fun funny humor meme sticker viral,Viral pink + comedy yellow + share blue
127,AI Photo & Avatar Generator,#077E9B,#FFFFFF,#22D3EE,#0F172A,#EC4899,#0F172A,#ECFEFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2,camera capture character face image photography picture portrait selfie,Creative cyan + generation pink
128,Link-in-Bio Page Builder,#2563EB,#FFFFFF,#7C3AED,#FFFFFF,#EC4899,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,link bio social profile page builder portfolio,Brand blue + creator purple
129,Wardrobe & Outfit Planner,#BE185D,#FFFFFF,#EC4899,#FFFFFF,#D97706,#0F172A,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D,clothing dress fashion outfit style wardrobe,Fashion rose + gold accent
130,Plant Care Tracker,#15803D,#FFFFFF,#059669,#FFFFFF,#DB2777,#FFFFFF,#FAFAFA,#0F172A,#FFFFFF,#0F172A,#F0F7F3,#64748B,#E2EFE7,#DC2626,#FFFFFF,#15803D,floral flower garden green nature,Nature green + sun yellow; bg neutralized
131,Book & Reading Tracker,#78675A,#FFFFFF,#92400E,#FFFFFF,#15803D,#FFFFFF,#FFFFFF,#0F172A,#FFFBEB,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78675A,book library literature novel reading,Book brown + page amber [bg neutralized from #FFFBEB; cream moved to Card surface]
132,Couple & Relationship App,#BE185D,#FFFFFF,#EC4899,#FFFFFF,#6164F1,#FFFFFF,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D,love partner relationship romance,Romance rose + love red
133,Family Calendar & Chores,#2563EB,#FFFFFF,#059669,#FFFFFF,#D97706,#0F172A,#FFFEFB,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#2563EB,agenda child group home household organizing parent planner schedule,Family blue + chore green
134,Mood Tracker,#BE185D,#FFFFFF,#EC4899,#0F172A,#0891B2,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D,emotion feeling health mental wellbeing,Emotional rose + insight amber
135,Gift & Wishlist,#DA2323,#FFFFFF,#D97706,#FFFFFF,#8655F6,#FFFFFF,#FFF1F2,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626,buy present shopping surprise wishlist,Gift red + gold + surprise pink
136,Running & Cycling GPS,#EA580C,#0F172A,#F97316,#FFFFFF,#059669,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#3C3549,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#EA580C,cycling exercise gps jog marathon outdoor,Energetic orange + pace green on dark
137,Yoga & Stretching Guide,#5A6680,#FFFFFF,#706C78,#FFFFFF,#0891B2,#0F172A,#F5F5F0,#0F172A,#FFFFFF,#0F172A,#F6F6F7,#64748B,#EDEEEF,#DC2626,#FFFFFF,#5A6680,exercise flexibility mindful stretching wellness,Sage neutral + calm teal
138,Sleep Tracker,#4338CA,#FFFFFF,#6164F1,#FFFFFF,#7C3AED,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#26326D,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#4338CA,bedtime insomnia night rest,Night indigo + dream violet on dark
139,Calorie & Nutrition Counter,#04875F,#FFFFFF,#10B981,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F0F8F6,#64748B,#E1F2ED,#DC2626,#FFFFFF,#059669,counter diet food health nutrition,Healthy green + macro orange; bg neutralized
140,Period & Cycle Tracker,#BE185D,#FFFFFF,#EC4899,#FFFFFF,#059669,#0F172A,#FDF2F8,#0F172A,#FFFFFF,#0F172A,#FBF1F5,#64748B,#F7E3EB,#DC2626,#FFFFFF,#BE185D,cycle health menstrual tracker women,Blush rose + fertility lavender
141,Medication & Pill Reminder,#027CBA,#FFFFFF,#0891B2,#FFFFFF,#DC2626,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#027CBA,drug medicine pharmacy pill prescription,Medical blue + alert red; bg neutralized
142,Water & Hydration Reminder,#027CBA,#FFFFFF,#06B6D4,#FFFFFF,#0891B2,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#EFF7FB,#64748B,#E0F0F8,#DC2626,#FFFFFF,#027CBA,drink health hydration reminder,Refreshing blue + water cyan; bg neutralized
143,Fasting & Intermittent Timer,#334155,#FFFFFF,#475569,#FFFFFF,#059669,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#334155,clock countdown diet focus health intermittent pomodoro productivity timer,Focused slate on dark + eating green
144,Anonymous Community / Confession,#475569,#FFFFFF,#334155,#FFFFFF,#0891B2,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#475569,confession forum group membership network private secret social whisper,Protective grey + subtle teal on dark
145,Local Events & Discovery,#C64A0A,#FFFFFF,#F97316,#FFFFFF,#2563EB,#FFFFFF,#FFF7ED,#0F172A,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C,discovery events nearby neighborhood,Event orange + map blue
146,Study Together / Virtual Coworking,#2563EB,#FFFFFF,#3B82F6,#FFFFFF,#F59E0B,#0F172A,#FAF9F5,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#64748B,#E3E2DE,#DC2626,#FFFFFF,#2563EB,academic education exam flashcard learning office school shared space workspace,Blue + learning yellow
147,Coding Challenge & Practice,#22C55E,#0F172A,#059669,#FFFFFF,#7C3AED,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#1B3C4C,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#22C55E,code developer engineer programming software,Code green + difficulty amber on dark
148,Kids Learning (ABC & Math),#2563EB,#FFFFFF,#6839E6,#FFFFFF,#16A34A,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,child children education educational kid learn school study teaching toddler youth,Learning blue + play yellow + fun pink; bg neutralized
149,Music Instrument Learning,#DC2626,#FFFFFF,#9A3412,#FFFFFF,#D97706,#0F172A,#FFFBEB,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626,audio education educational instrument learn melody rhythm school song sound study teaching,Musical red + warm amber
150,Parking Finder,#2563EB,#FFFFFF,#059669,#FFFFFF,#6164F1,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,car park space urban vehicle,Available blue/green + occupied red; bg neutralized
151,Public Transit Guide,#2563EB,#FFFFFF,#0891B2,#FFFFFF,#EA580C,#0F172A,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#F1F5FD,#64748B,#E4ECFC,#DC2626,#FFFFFF,#2563EB,bus commute metro public subway train,Transit blue + line colors
152,Road Trip Planner,#C64A0A,#FFFFFF,#D94166,#000000,#2563EB,#FFFFFF,#FFF7ED,#0F172A,#FFFFFF,#0F172A,#FDF4F0,#64748B,#FCEAE1,#DC2626,#FFFFFF,#EA580C,car driving highway route travel trip,Adventure orange + map teal
153,VPN & Privacy Tool,#1E3A5F,#FFFFFF,#334155,#FFFFFF,#0891B2,#0F172A,#0F172A,#FFFFFF,#192134,#FFFFFF,#223663,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#1E3A5F,network privacy protection security,Dark blue + privacy teal
154,Emergency SOS & Safety,#DA2323,#FFFFFF,#EF4444,#FFFFFF,#2563EB,#FFFFFF,#FFF1F2,#0F172A,#FFFFFF,#0F172A,#FCF1F1,#64748B,#FAE4E4,#DC2626,#FFFFFF,#DC2626,alert crisis safety sos urgent,Alert red + safety blue
155,Wallpaper & Theme App,#3E3E59,#FFFFFF,#3F3F46,#FFFFFF,#2563EB,#FFFFFF,#FAFAFA,#09090B,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#3E3E59,aesthetic background customize theme,Gallery black + info blue
156,White Noise & Ambient Sound,#475569,#FFFFFF,#334155,#FFFFFF,#4338CA,#FFFFFF,#0F172A,#FFFFFF,#192134,#FFFFFF,#26365E,#94A3B8,#3D4A6A,#DC2626,#FFFFFF,#475569,ambient noise relax sleep sound,Ambient grey + deep indigo on dark
157,Home Decoration & Interior Design,#78675A,#FFFFFF,#A8A29E,#FFFFFF,#D97706,#0F172A,#FAF5F2,#0F172A,#FFFFFF,#0F172A,#F6F6F6,#64748B,#EEEDED,#DC2626,#FFFFFF,#78675A,home decoration interior design furniture decor room styling,Interior warm grey + gold accent
158,Travel/Tourism Agency,#ED002B,#FFFFFF,#790467,#FFFFFF,#92400E,#FFFFFF,#FFFFFF,#222222,#FFFFFF,#222222,#F7F7F7,#64748B,#DDDDDD,#DC2626,#FFFFFF,#FF385C,advertising creative destination journey marketing promotion studio tour tourism travel trip vacation,Brand-inspired (airbnb)
159,Automotive/Car Dealership,#DA291C,#FFFFFF,#F6E500,#FFFFFF,#F6E500,#000000,#181818,#FFFFFF,#FFFFFF,#FFFFFF,#383838,#64748B,#4B4B4B,#DC2626,#FFFFFF,#DA291C,auto automotive car driving motor vehicle,Brand-inspired (ferrari)
160,AI/Chatbot Platform,#B55838,#FFFFFF,#BFAC4D,#0F172A,#5DB8A6,#000000,#FAF9F5,#141413,#FFFFFF,#141413,#F5F0E8,#64748B,#E6DFD8,#DC2626,#FFFFFF,#CC785C,ai assistant bot conversation virtual,Brand-inspired (claude)
161,Developer Tool / IDE,#CC4100,#FFFFFF,#B2A950,#0F172A,#1E8662,#FFFFFF,#F7F7F4,#26251E,#FFFFFF,#26251E,#FFFFFF,#64748B,#E6E5E0,#DC2626,#FFFFFF,#F54E00,code coding dev engineer programming software,Brand-inspired (cursor)
162,AI/Chatbot Platform,#D84004,#FFFFFF,#E63E00,#FFFFFF,#415673,#FFFFFF,#FFFFFF,#1F1F1F,#FFFFFF,#1F1F1F,#F0F0F0,#64748B,#E1E1E1,#DC2626,#FFFFFF,#FA520F,ai assistant bot conversation virtual,Brand-inspired (mistral.ai)
163,Music Streaming,#13883D,#000000,#1DB954,#000000,#1DB954,#121212,#FFFFFF,#121212,#FFFFFF,#121212,#EEEEEE,#64748B,#4D4D4D,#DC2626,#FFFFFF,#1ED760,audio instrument melody rhythm song sound,Brand-inspired (spotify)
164,Banking/Traditional Finance,#EB001B,#FFFFFF,#D70007,#FFFFFF,#293F73,#FFFFFF,#FFFFFF,#141413,#FFFFFF,#141413,#F0F0F0,#64748B,#E1E1E1,#DC2626,#FFFFFF,#EB001B,bank banking finance financial fintech money,Brand-inspired (mastercard)
165,SaaS (General),#D54200,#FFFFFF,#EB3B00,#FFFFFF,#293F73,#FFFFFF,#FFFEFB,#201515,#FFFFFF,#201515,#FFFEFB,#64748B,#E1E0DD,#DC2626,#FFFFFF,#FF4F00,cloud platform service software tool,Brand-inspired (zapier)
166,Telecom Provider,#AC1811,#FFFFFF,#767676,#FFFFFF,#767676,#FFFFFF,#FFFFFF,#25282B,#FFFFFF,#25282B,#F0F0F0,#64748B,#E60000,#DC2626,#FFFFFF,#AC1811,telecom telecommunications carrier network operator phone isp broadband cellular,Brand-inspired (vodafone)
167,Cryptocurrency Exchange,#8F7302,#FFFFFF,#79BD2D,#181A20,#2DBDB6,#000000,#FFFFFF,#181A20,#FFFFFF,#181A20,#F0F0F0,#64748B,#E1E1E1,#DC2626,#FFFFFF,#FCD535,bitcoin blockchain crypto defi web3,Brand-inspired (binance)
168,Automotive/Car Dealership,#967100,#000000,#9BDB1E,#000000,#1EAEDB,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#64748B,#E1E1E1,#DC2626,#FFFFFF,#FFC000,auto automotive car driving motor vehicle,Brand-inspired (lamborghini)
169,Automotive/Car Dealership,#817800,#000000,#8DC572,#000000,#8DC572,#000000,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#64748B,#D1D1D1,#DC2626,#FFFFFF,#EFDF00,auto automotive car driving motor vehicle,Brand-inspired (renault)
170,Remote Work/Collaboration Tool,#481A54,#FFFFFF,#340640,#FFFFFF,#A16207,#FFFFFF,#FFFFFF,#1D1D1D,#FFFFFF,#1D1D1D,#F9F0FF,#64748B,#E1E1E1,#DC2626,#FFFFFF,#481A54,remote work collaboration team virtual office meeting,Brand-inspired (slack)
171,AI/Chatbot Platform,#DA10AB,#000000,#DB18AD,#FFFFFF,#415673,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#F0F0F0,#64748B,#E1E1E1,#DC2626,#FFFFFF,#EF2CC1,ai assistant bot conversation virtual,Brand-inspired (together.ai)
172,Social Media App,#E60023,#FFFFFF,#734B1F,#FFFFFF,#1F7347,#FFFFFF,#FFFFFF,#211922,#FFFFFF,#211922,#F0F0F0,#64748B,#C8C8C1,#DC2626,#FFFFFF,#E60023,social network community feed posts sharing,Brand-inspired (pinterest)
174,Banking/Traditional Finance,#1C1E54,#FFFFFF,#9816E4,#FFFFFF,#E41657,#FFFFFF,#FFFFFF,#061B31,#FFFFFF,#061B31,#F0F0F0,#64748B,#E5EDF5,#DC2626,#FFFFFF,#1C1E54,bank banking finance financial fintech money,Brand-inspired (stripe)
175,Cryptocurrency Exchange,#0052FF,#FFFFFF,#00F1F4,#0F172A,#F4B000,#000000,#FFFFFF,#0A0B0D,#FFFFFF,#0A0B0D,#F7F7F7,#64748B,#DEE1E6,#DC2626,#FFFFFF,#0052FF,bitcoin blockchain crypto defi web3,Brand-inspired (coinbase)
176,Developer Tool / IDE,#1E7B52,#FFFFFF,#B4B4B4,#000000,#B4B4B4,#000000,#EFEFEF,#0F0F0F,#FFFFFF,#0F0F0F,#E0E0E0,#64748B,#242424,#DC2626,#FFFFFF,#3ECF8E,code coding dev engineer programming software,Brand-inspired (supabase)
177,SaaS (General),#06802E,#FFFFFF,#0BDF50,#FFFFFF,#293F73,#FFFFFF,#F5F1EC,#111111,#FFFFFF,#111111,#FFFFFF,#64748B,#D3CEC6,#DC2626,#FFFFFF,#0BDF50,cloud platform service software tool,Brand-inspired (intercom)
178,Developer Tool / IDE,#362659,#FFFFFF,#4D6BBF,#FFFFFF,#C2EF4E,#000000,#FFFFFF,#362D59,#FFFFFF,#362D59,#E5E7EB,#64748B,#CFCFDB,#DC2626,#FFFFFF,#362659,code coding dev engineer programming software,Brand-inspired (sentry)
179,Design System/Component Library,#EA005E,#000000,#FF3D8B,#FFFFFF,#415673,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#F7F7F5,#64748B,#E6E6E6,#DC2626,#FFFFFF,#FF3D8B,component kit library system ui,Brand-inspired (figma)
180,Cryptocurrency Exchange,#7132F5,#FFFFFF,#14439E,#FFFFFF,#149E61,#101114,#FFFFFF,#101114,#FFFFFF,#101114,#F0F0F0,#64748B,#DEDEE5,#DC2626,#FFFFFF,#7132F5,bitcoin blockchain crypto defi web3,Brand-inspired (kraken)
